categoria,product_name,proteins_100g,fat_100g,carbohydrates_100g,energy-kcal_100g,nutriscore_grade
chocolate,Edelbitter-Schokolade,10,55,14,592,e
chocolate,Excellence 70% cacao noir intense,9.5,41,35,566,e
chocolate,Excellence 85% cacao,12.5,46,22,584,e
chocolate,Шоколад 85% какаова маса,10.8,46.8,21.4,552,d
chocolate,Chocolate con leche y almendras,5.33333333333333,32,53.3333333333333,533.333333333333,d
chocolate,Excellence 85% Cacao Rich Dark,12.5,46,22,584,e
chocolate,Čokoláda 74%,9.9,42,32,571,e
chocolate,Nestlé dessert Noir,6,34,50.7,548,e
chocolate,78% cacao,10,46,24,570.028680688336,e
chocolate,Lindt Excellence 70% Cocoa,9,41,34,565,e
chocolate,NEGRO 70% CACAO,8.4,40,31.9,439,e
chocolate,Chocolat au lait,6.5,31,57,539,e
chocolate,99% Cocoa / Cacao,14,49,10,537,e
chocolate,Bio Chocolat Noir,8.5,41.6,35.3,572,e
chocolate,Noir equitable 85% Pérou,8.1,53,24,631,d
chocolate,180G C OR NOIR NOISETTE,7.3,39,43,570,e
chocolate,Excellence Noir à la Pointe de Fleur de Sel,5.7,32,52,561.902485659655,e
chocolate,Chocolat noir 85% Madagascar,11,51,24,619,d
chocolate,Chocolat noir Equateur Bio,9,55.3,20.6,639,d
chocolate,Noir 70% Intense,7,46.5,32,600,e
chocolate,Noir intense dessert 70%,9.6,38,35,545,e
chocolate,Excellence Noir Délicat Doux 85% Cacao,8.9,55,19,603,e
chocolate,Edelbitter Mild 90%,11,51.9,16.2,608,d
chocolate,100% Cacao Noir Profond,13,54,11,614,d
chocolate,Chocolat noir 75% Pérou,7.3,46,33,597,d
chocolate,180G LT NOISETTE COTE D OR,9.3,36,45,555,e
chocolate,Chocolat noir 80% Équateur intense et floral,9.9,49,28,610,d
chocolate,Chocolate negro,9.6,42,32,567,e
chocolate,Noir 86% Extra intense,8.5,56,18,645,d
chocolate,Chocolat Bio noir 85%,1.8,8.9,4.2,109,c
chocolate,NESTLÉ DESSERT 70% Absolu 170g,9,44.7,33,592,e
chocolate,Pérou grand cru Amazonas 70% note de fruits rouges,8.3,43,32,575,e
chocolate,Noir Extra,4.9,28,55,508,e
chocolate,Excellence Noir Orange Intense,7,32,51,535,e
chocolate,80% cacao noir,10,47,26,593,d
chocolate,chocolat 90% Perou,8.5,56,20,644,d
chocolate,NESTLÉ DESSERT Noir 2x205g,5.9,34.6,50.6,551,e
chocolate,NESTLÉ DESSERT Corsé 200g,8.3,37.3,40.6,554,e
chocolate,NAPOLITAIN,,,,,unknown
chocolate,Chocolat Noir 92% cacao,15,49,14,580,e
chocolate,,14,47,17,569,e
chocolate,Dark chocolate,10,50,24,607,d
chocolate,Chocolat noir Bio 70%,9.1,42,36,580,e
chocolate,Excellence Lait Extra Fondant,6.4,37,51,569,e
chocolate,Organic 70% Dark Chocolate Bar,9.1,42,36,580,e
chocolate,Čokoláda na vaření,4.8,35,48,544,e
chocolate,шок.тоблерон с дробл.орехом,5.6,28,61,528.211284513806,e
chocolate,Haïti Grand cru Cap haïtien 72% cacaoté et fruité,9.5,42,35,580,e
chocolate,"Chocolat Noir 72%, Collection Pure",6.8,43,33,540,e
chocolate,Noir amandes entières,7.3,39,43,569,e
chocolate,tablette poulain fine et gourmande 70% noir moin 2%sucre,7.6,44,34,539,d
chocolate,L'original lait,7.4,28,57,520,e
chocolate,NESTLE DESSERT Noir Bio 170g,6.2,37.9,46.5,566,e
chocolate,Puur Noir 50% Cocoa,5.7,31.5,52.4,531,e
chocolate,Noir Dégustation 74% cacao,8.5,42,34,569,e
chocolate,Excellence Noir Caramel à la pointe de sel,5.4,29,56,520,e
chocolate,,9.2,39.3,30.5,512,e
chocolate,NOIR DEGUSTATION 70% CARAMEL,7.1,35.2,40.3,544,e
chocolate,EXTRA DARK 85% COCOA,10.5,48.1,21.2,585,e
chocolate,Tablette BIO dégustation Chocolat noir - 100g,8.1,42,38,581,e
chocolate,Chocolate negro. Cacao 95% mínimo,12.8,51.2,12.8,600,d
